name	uniprot_id	category	node_type
IFT46	Q9NQC8	IFT-B	bait
IFT56	A0AVF1	IFT-B	prey
BBS8	Q8TAM2	BBSome	bait
BBS18	A8MTZ0	BBSome	prey
BBS7	Q8IWZ6	BBSome	bait
BBS2	Q9BXC9	BBSome	prey
BBS1	Q8NFJ9	BBSome	bait
BBS4	Q96RK4	BBSome	prey
IFT70B	Q8N4P2	Ciliary structural	bait
IFT88	Q13099	IFT-B	prey
TULP3	O75386	IFT-A	bait
WDR5	P61964	Transcription/Chromatin	prey
IFT25	Q9Y547	IFT-B	bait
ZC2HC1A	Q96GY0	Other	prey
ARL6	Q9H0F7	BBSome	prey
IFT172	Q9UG01	Ciliary structural	bait
IFT57	Q9NWB7	IFT-B	prey
IFT80	Q9P2H3	IFT-B	bait
IFT38	Q96AJ1	Ciliary structural	prey
TP73	O15350	Ciliary structural	prey
IFT54	Q8TDR0	IFT-B	bait
CYS1	Q717R9	Ciliary structural	prey
IFT27	Q9BW83	IFT-B	bait
TUBE1	Q9UJT0	Cytoskeleton	prey
BBS9	Q3SYG4	BBSome	prey
GNAS	O95467	Membrane trafficking	prey
IFT122	Q9HBG6	IFT-A	bait
IFT144	Q8NEZ3	IFT-A	prey
TIMM50	Q3ZCQ8	Signaling	prey
IFT52	Q9Y366	IFT-B	bait
PPP6C	O00743	Signaling	prey
IFT70A	Q86WT1	Ciliary structural	prey
GLIS2	Q9BZE0	Ciliary structural	prey
EIF5	P55010	RNA processing	prey
CLIC1	O00299	Signaling	prey
BBS5	Q8N3I7	BBSome	bait
MCIDAS	D6RGH6	Ciliary structural	prey
IFT121	Q9P2L0	IFT-A	prey
CFAP144	A6NL82	Ciliary structural	prey
GMNC	A6NCL1	Ciliary structural	prey
RABL2B	Q9UNT1	IFT-B	bait
POC1A	Q8NBT0	Ciliary structural	prey
STK11	Q15831	Ciliary structural	prey
BBS17	Q9NQ48	BBSome	bait
CFAP20	Q9Y6A4	Ciliary structural	prey
IFT20	Q8IY31	IFT-B	bait
SUFU	Q9UMX1	Ciliary structural	prey
IFT140	Q96RY7	IFT-A	prey
DCDC2	Q9UHG0	Ciliary structural	prey
SRSF7	Q16629	Signaling	prey
IFT43	Q96FT9	IFT-A	bait
PDE6D	O43924	Ciliary structural	prey
SPATA7	Q9P0W8	Ciliary structural	prey
NDUFA5	Q16718	Metabolism	prey
SNX10	Q9Y5X0	Ciliary structural	prey
ENTR1	Q96C92	Ciliary structural	prey
IFT22	Q9H7X7	IFT-B	bait
INTS6	Q9UL03	Transcription/Chromatin	prey
EFCAB2	Q5VUJ9	Cytoskeleton	prey
DTYMK	P23919	Signaling	prey
GDI2	P50395	Ciliary structural	prey
FAIM	Q9NVQ4	Signaling	prey
SUCLG1	P53597	Metabolism	prey
CMPK1	P30085	Signaling	prey
ACSL3	O95573	Signaling	prey
HIBADH	P31937	Metabolism	prey
RPS9	P46781	RNA processing	prey
DYNC2LI1	Q8TCX1	Ciliary structural	prey
LTA4H	P09960	Metabolism	prey
DNAJC8	O75937	Other	prey
PDCD10	Q9BUL8	Signaling	prey
SEMG1	P04279	Other	prey
TTC21B	Q7Z4L5	Ciliary structural	bait
CYLC2	Q14093	Cytoskeleton	prey
TBC1D7	Q9P0N9	Ciliary structural	prey
UBA52	P62987	Metabolism	prey
GALNT11	Q8NCW6	Ciliary structural	prey
TTC21A	Q8NDW8	Ciliary structural	prey
SH3GLB1	Q9Y371	Signaling	prey
UBXN10	Q96LJ8	Ciliary structural	prey
MED7	O43513	Transcription/Chromatin	prey
TTBK2	Q6IQ55	Ciliary structural	prey
CFAP36	Q96G28	Ciliary structural	prey
MLF2	Q15773	Transcription/Chromatin	prey
CLU	P10909	Transcription/Chromatin	prey
DBR1	Q9UK59	RNA processing	prey
CLBA1	Q96F83	Membrane trafficking	prey
NPM1	P06748	Transcription/Chromatin	prey
MAK	P20794	Ciliary structural	prey
NSFL1C	Q9UNZ2	Metabolism	prey
RFX7	Q2KHR2	Transcription/Chromatin	prey
PDIA4	P13667	Signaling	prey
CILK1	Q9UPZ9	Ciliary structural	prey
HNRNPM	P52272	Signaling	prey
VHL	P40337	Ciliary structural	prey
YAP1	P46937	Ciliary structural	prey
KCTD10	Q9H3F6	Signaling	prey
CEP44	Q9C0F1	Ciliary structural	prey
HAP1	P54257	Ciliary structural	prey
CFAP206	Q8IYR0	Ciliary structural	prey
TOM1	O60784	Signaling	prey
PHB2	Q99623	Transcription/Chromatin	prey
CBY1	Q9Y3M2	Ciliary structural	prey
GSTM1	P09488	Metabolism	prey
DZIP1	Q86YF9	Ciliary structural	prey
GLI1	P08151	Ciliary structural	prey
RAB28	P51157	Ciliary structural	prey
DRG1	Q9Y295	Cytoskeleton	prey
EGFR	P00533	Ciliary structural	prey
LRRC23	Q53EV4	Cytoskeleton	prey
GALR2	O43603	Ciliary structural	prey
CSNK1D	P48730	Ciliary structural	prey
CYRIB	Q9NUQ9	Ciliary structural	prey
AMOTL2	Q9Y2J4	Transcription/Chromatin	prey
ACR	P10323	Membrane trafficking	prey
P2RY14	Q15391	Signaling	prey
ELOC	Q15369	Transcription/Chromatin	prey
ALPK1	Q96QP1	Ciliary structural	prey
SPMIP5	Q8WW14	Ciliary structural	prey
CDC20B	Q86Y33	Other	prey
PSMA7	O14818	Other	prey
MMP21	Q8N119	Other	prey
FAAH	O00519	Metabolism	prey
