Cell Type,Bait,Hit,Bait.ensg,Hit.ensg,Bait.name,Hit.name,Sum TIC,Spectra,% Coverage
3T3,Ahi1,SP|P42932|TCPQ_MOUSE,ENSMUSG00000019986,ENSMUSG00000025613,Ahi1,Cct8,24000.0,2,4.0
3T3,Ahi1,SP|Q8BZ64|TECT1_MOUSE,ENSMUSG00000019986,ENSMUSG00000038593,Ahi1,Tctn1,19000.0,2,4.9
3T3,Ahi1,SP|Q3SYP5|Q3SYP5_MOUSE,ENSMUSG00000019986,ENSMUSG00000053797,Ahi1,Krt16,45000.0,9,10.2
3T3,Ahi1,SP|P05213|TBA1B_MOUSE,ENSMUSG00000019986,ENSMUSG00000023004,Ahi1,Tuba1b,110000.0,19,16.0
3T3,Ahi1,SP|P38647|GRP75_MOUSE,ENSMUSG00000019986,ENSMUSG00000024359,Ahi1,Hspa9,130000.0,11,16.9
3T3,Ahi1,SP|A1L0X5|A1L0X5_MOUSE,ENSMUSG00000019986,ENSMUSG00000050463,Ahi1,Krt78,73000.0,4,1.8
3T3,Ahi1,SP|P99024|TBB5_MOUSE,ENSMUSG00000019986,ENSMUSG00000001525,Ahi1,Tubb5,100000.0,14,14.4
3T3,Ahi1,SP|Q6NXH9|Q6NXH9_MOUSE,ENSMUSG00000019986,ENSMUSG00000063661,Ahi1,Krt73,310000.0,18,11.1
3T3,Ahi1,SP|Q2M1G8|Q2M1G8_MOUSE,ENSMUSG00000019986,ENSMUSG00000053654,Ahi1,Krt42,150000.0,16,14.8
3T3,Ahi1,SP|Q284W0|Q284W0_MOUSE,ENSMUSG00000019986,ENSMUSG00000034121,Ahi1,Mks1,97000.0,8,9.3
3T3,Ahi1,SP|Q8K3E5|AHI1_MOUSE,ENSMUSG00000019986,ENSMUSG00000019986,Ahi1,Ahi1,85000000.0,1789,73.2
3T3,Ahi1,SP|P04104|K2C1_MOUSE,ENSMUSG00000019986,ENSMUSG00000046834,Ahi1,Krt1,4100000.0,168,6.6
3T3,Ahi1,SP|Q08EK4|Q08EK4_MOUSE,ENSMUSG00000019986,ENSMUSG00000067594,Ahi1,Krt77,110000.0,6,6.6
3T3,Ahi1,SP|A2A4G4|A2A4G4_MOUSE,ENSMUSG00000019986,ENSMUSG00000045545,Ahi1,Krt14,210000.0,32,12.2
3T3,Ahi1,SP|A2A513|A2A513_MOUSE,ENSMUSG00000019986,ENSMUSG00000019761,Ahi1,Krt10,4000000.0,236,25.2
3T3,Ahi1,SP|Q3UV17|Q3UV17_MOUSE,ENSMUSG00000019986,ENSMUSG00000075402,Ahi1,Krt76,910000.0,61,6.4
3T3,Ahi1,SP|A2AM57|A2AM57_MOUSE,ENSMUSG00000019986,ENSMUSG00000028344,Ahi1,Nphp2,3800000.0,195,35.8
3T3,Ahi1,SP|A2AUF6|A2AUF6_MOUSE,ENSMUSG00000019986,ENSMUSG00000026864,Ahi1,Hspa5,230000.0,23,31.9
3T3,Ahi1,SP|A2A4G1|A2A4G1_MOUSE,ENSMUSG00000019986,ENSMUSG00000054146,Ahi1,Krt15,78000.0,6,7.5
3T3,Ahi1,SP|Q3TTY5|K22E_MOUSE,ENSMUSG00000019986,ENSMUSG00000064201,Ahi1,Krt2,500000.0,44,8.8
3T3,Ahi1,SP|P60710|ACTB_MOUSE,ENSMUSG00000019986,ENSMUSG00000029580,Ahi1,Actb,5100.0,2,10.2
3T3,Ahi1,SP|Q8CFW7|Q8CFW7_MOUSE,ENSMUSG00000019986,ENSMUSG00000039765,Ahi1,Cc2d2a,17000.0,3,1.6
3T3,Ahi1,SP|P63017|HSP7C_MOUSE,ENSMUSG00000019986,ENSMUSG00000015656,Ahi1,Hspa8,4200000.0,214,53.4
3T3,Ahi1,SP|A5JUZ1|A5JUZ1_MOUSE,ENSMUSG00000019986,ENSMUSG00000020460,Ahi1,Rps27a,310000.0,29,24.4
3T3,Ahi1,SP|A2A4H7|A2A4H7_MOUSE,ENSMUSG00000019986,ENSMUSG00000001552,Ahi1,Jup,71000.0,10,10.6
3T3,Ahi1,SP|Q32P04|Q32P04_MOUSE,ENSMUSG00000019986,ENSMUSG00000061527,Ahi1,Krt5,350000.0,30,20.1
3T3,Ahi1,SP|Q71LX8|Q71LX8_MOUSE,ENSMUSG00000019986,ENSMUSG00000023944,Ahi1,Hsp90ab1,530000.0,42,13.0
3T3,Ahi1,SP|A2A637|A2A637_MOUSE,ENSMUSG00000019986,ENSMUSG00000042678,Ahi1,Myo15,120000.0,2,0.9
3T3,Ahi1,SP|P07901|HS90A_MOUSE,ENSMUSG00000019986,ENSMUSG00000021270,Ahi1,Hsp90aa1,21000.0,3,6.0
3T3,Ahi1,SP|O70433|FHL2_MOUSE,ENSMUSG00000019986,ENSMUSG00000008136,Ahi1,Fhl2,52000.0,6,18.6
3T3,Mks1,SP|Q2MV57|TECT2_MOUSE,ENSMUSG00000034121,ENSMUSG00000029386,Mks1,Tctn2,180000.0,28,23.7
3T3,Mks1,SP|Q8BZ64|TECT1_MOUSE,ENSMUSG00000034121,ENSMUSG00000038593,Mks1,Tctn1,120000.0,17,21.4
3T3,Mks1,SP|Q3SYP5|Q3SYP5_MOUSE,ENSMUSG00000034121,ENSMUSG00000053797,Mks1,Krt16,210000.0,8,10.7
3T3,Mks1,SP|P28301|LYOX_MOUSE,ENSMUSG00000034121,ENSMUSG00000024529,Mks1,Lox,45000.0,7,12.9
3T3,Mks1,SP|P05213|TBA1B_MOUSE,ENSMUSG00000034121,ENSMUSG00000023004,Mks1,Tuba1b,300000.0,36,24.4
3T3,Mks1,SP|A1L0X5|A1L0X5_MOUSE,ENSMUSG00000034121,ENSMUSG00000050463,Mks1,Krt78,1200000.0,13,1.5
