Bait,Prey,Condition,SAINT,MaxSAINT,AvgSpec,SpecSum,co-IP validated,Reported,FoldChange
AHI1,DSP,Ciliated,0.92,1.0,20,34,,,2.0
AHI1,DVL1,Ciliated,0.99,0.99,3,6,,,2.0
AHI1,ECD,Ciliated,1.0,1.0,23,38,,,2.0
AHI1,HAUS8,Ciliated,0.93,0.93,2,4,,,2.0
AHI1,IQCB1,Ciliated,0.96,1.0,4,6,,,2.0
AHI1,MAPK9,Ciliated,1.0,1.0,9,17,,,2.0
AHI1,MB21D2,Ciliated,1.0,1.0,13,25,,,2.0
AHI1,NMT1,Ciliated,0.94,0.94,9,18,,,2.0
AHI1,PPP2CA,Ciliated,1.0,1.0,32,46,,,2.0
AHI1,PPP2R1A,Ciliated,1.0,1.0,86,151,,,2.0
AHI1,PPP2R2A,Ciliated,1.0,1.0,70,129,,,2.0
AHI1,SIRT2,Ciliated,1.0,1.0,12,23,,,2.0
AHI1,SSX2IP,Ciliated,0.96,0.99,3,5,,,2.0
AHI1,UNC45A,Ciliated,0.99,1.0,7,10,,,2.0
SSX2IP,AKTIP,Ciliated,1.0,1.0,13,26,,,2.0
SSX2IP,CEP131,Ciliated,1.0,1.0,122,237,,,2.0
SSX2IP,CAMSAP1,Ciliated,0.88,0.97,7,12,,,2.0
SSX2IP,CCDC138,Ciliated,1.0,1.0,48,88,,,2.0
SSX2IP,CCDC85C,Ciliated,1.0,1.0,12,16,,,2.0
SSX2IP,CCT7,Ciliated,1.0,1.0,82,155,,,2.0
SSX2IP,CENPH,Ciliated,0.99,1.0,7,10,,,2.0
SSX2IP,CEP350,Ciliated,0.93,0.93,2,4,,,2.0
SSX2IP,CEP55,Ciliated,1.0,1.0,42,74,,,2.0
SSX2IP,CEP85,Ciliated,1.0,1.0,29,37,,,2.0
SSX2IP,CKAP2,Ciliated,1.0,1.0,15,26,,,2.0
SSX2IP,DVL1,Ciliated,1.0,1.0,16,30,,,2.0
SSX2IP,DVL2,Ciliated,1.0,1.0,69,126,,,2.0
SSX2IP,DVL3,Ciliated,1.0,1.0,54,105,,,2.0
SSX2IP,ECH1,Ciliated,1.0,1.0,8,14,,,2.0
SSX2IP,FAM120A,Ciliated,0.96,1.0,4,6,,,2.0
SSX2IP,FAM21A,Ciliated,1.0,1.0,9,13,,,2.0
SSX2IP,FMR1,Ciliated,0.96,1.0,8,10,,,2.0
SSX2IP,GPATCH1,Ciliated,1.0,1.0,32,51,,,2.0
SSX2IP,HAUS3,Ciliated,0.9,1.0,17,21,,,2.0
SSX2IP,HAUS4,Ciliated,1.0,1.0,10,14,,,2.0
SSX2IP,HAUS6,Ciliated,1.0,1.0,31,53,,,2.0
SSX2IP,HAUS8,Ciliated,1.0,1.0,13,20,,,2.0
SSX2IP,HOOK3,Ciliated,1.0,1.0,77,149,,,2.0
SSX2IP,IFT74,Ciliated,1.0,1.0,5,9,,,2.0
SSX2IP,KANK2,Ciliated,0.97,0.97,7,14,,,2.0
SSX2IP,KATNA1,Ciliated,0.96,1.0,13,19,,,2.0
SSX2IP,KATNB1,Ciliated,0.99,1.0,19,27,,,2.0
SSX2IP,KIAA0753,Ciliated,1.0,1.0,49,73,,,2.0
SSX2IP,KIAA1671,Ciliated,0.96,1.0,7,9,,,2.0
SSX2IP,LRRC49,Ciliated,1.0,1.0,29,54,,,2.0
SSX2IP,LUZP1,Ciliated,0.93,1.0,13,22,,,2.0
SSX2IP,NEDD1,Ciliated,1.0,1.0,24,47,,,2.0
SSX2IP,OFD1,Ciliated,1.0,1.0,131,249,,,2.0
SSX2IP,PCM1,Ciliated,1.0,1.0,595,1044,,,2.0
SSX2IP,PIBF1,Ciliated,1.0,1.0,39,56,,,2.0
SSX2IP,PLEKHG1,Ciliated,0.96,1.0,8,10,,,2.0
SSX2IP,PPP1R13B,Ciliated,0.96,1.0,4,6,,,2.0
SSX2IP,RINT1,Ciliated,0.99,1.0,7,10,,,2.0
SSX2IP,SDCCAG3,Ciliated,1.0,1.0,27,49,,,2.0
SSX2IP,TCHP,Ciliated,1.0,1.0,13,22,,,2.0
SSX2IP,TNRC6B,Ciliated,1.0,1.0,40,49,,,2.0
SSX2IP,TP53,Ciliated,0.86,1.0,27,34,,,2.0
SSX2IP,TP53BP2,Ciliated,1.0,1.0,37,59,,,2.0
SSX2IP,TPGS1,Ciliated,1.0,1.0,42,83,,,2.0
SSX2IP,TRIM26,Ciliated,1.0,1.0,22,32,,,2.0
SSX2IP,TTK,Ciliated,0.95,0.95,6,12,,,2.0
SSX2IP,TXLNG,Ciliated,0.96,1.0,7,9,,,2.0
SSX2IP,WDR83,Ciliated,1.0,1.0,7,13,,,2.0
SSX2IP,WRAP73,Ciliated,1.0,1.0,320,542,,,2.0
SSX2IP,XRN1,Ciliated,1.0,1.0,98,165,,,2.0
OFD1,ADSL,Ciliated,1.0,1.0,11,17,,,2.0
OFD1,AIP,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,ALDH1B1,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,AURKB,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,CEP131,Ciliated,1.0,1.0,60,107,,,2.0
OFD1,BCAS3,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,C10orf88,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,TMEM256,Ciliated,0.93,0.93,2,4,,,2.0
OFD1,CACYBP,Ciliated,1.0,1.0,200,278,,,2.0
OFD1,CC2D1A,Ciliated,1.0,1.0,6,10,,,2.0
OFD1,CCDC138,Ciliated,1.0,1.0,12,22,,,2.0
OFD1,CCDC22,Ciliated,1.0,1.0,26,52,,,2.0
OFD1,CCDC57,Ciliated,1.0,1.0,10,17,,,2.0
OFD1,CCDC85C,Ciliated,0.96,1.0,9,11,,,2.0
OFD1,CCNA2,Ciliated,1.0,1.0,4,8,,,2.0
OFD1,CCNB1,Ciliated,1.0,1.0,5,9,,,2.0
OFD1,CDC37,Ciliated,1.0,1.0,39,67,,,2.0
OFD1,CDK2,Ciliated,0.94,1.0,17,30,,,2.0
OFD1,CEP55,Ciliated,1.0,1.0,25,40,,,2.0
OFD1,CEP63,Ciliated,1.0,1.0,13,22,,,2.0
OFD1,CEP85,Ciliated,1.0,1.0,18,36,,,2.0
OFD1,COMMD2,Ciliated,1.0,1.0,7,13,,,2.0
OFD1,COMMD4,Ciliated,0.96,1.0,4,6,,,2.0
OFD1,CSPP1,Ciliated,1.0,1.0,9,15,,,2.0
OFD1,DIAPH3,Ciliated,0.96,1.0,4,6,,,2.0
OFD1,DNAJA1,Ciliated,0.98,1.0,19,30,,,2.0
OFD1,DNAJC7,Ciliated,1.0,1.0,14,21,,,2.0
OFD1,DNM2,Ciliated,1.0,1.0,6,10,,,2.0
OFD1,DPCD,Ciliated,0.96,1.0,8,10,,,2.0
OFD1,DYNLL1,Ciliated,1.0,1.0,10,18,,,2.0
OFD1,EIF4ENIF1,Ciliated,1.0,1.0,11,18,,,2.0
OFD1,ERC1,Ciliated,1.0,1.0,24,36,,,2.0
OFD1,FGFR1OP,Ciliated,1.0,1.0,13,25,,,2.0
OFD1,FKBP4,Ciliated,1.0,1.0,42,78,,,2.0
OFD1,FOPNL,Ciliated,1.0,1.0,17,32,,,2.0
OFD1,GIGYF1,Ciliated,0.99,1.0,4,7,,,2.0
OFD1,GPATCH1,Ciliated,1.0,1.0,58,111,,,2.0
OFD1,HAUS3,Ciliated,0.9,1.0,16,20,,,2.0
OFD1,HAUS6,Ciliated,1.0,1.0,37,71,,,2.0
OFD1,HAUS7,Ciliated,0.96,1.0,5,7,,,2.0
OFD1,HAUS8,Ciliated,1.0,1.0,17,24,,,2.0
OFD1,HINT1,Ciliated,0.96,0.99,3,5,,,2.0
OFD1,HYOU1,Ciliated,1.0,1.0,5,9,,,2.0
OFD1,IDH3B,Ciliated,0.99,1.0,4,7,,,2.0
OFD1,IFT57,Ciliated,0.99,1.0,5,8,,,2.0
OFD1,IFT74,Ciliated,1.0,1.0,37,65,,,2.0
OFD1,IFT81,Ciliated,1.0,1.0,15,23,,,2.0
OFD1,KIAA0753,Ciliated,1.0,1.0,16,22,,,2.0
OFD1,KIAA1524,Ciliated,1.0,1.0,40,70,,,2.0
OFD1,MPHOSPH9,Ciliated,1.0,1.0,15,24,,,2.0
OFD1,NCKAP5L,Ciliated,1.0,1.0,5,9,,,2.0
OFD1,NEDD1,Ciliated,1.0,1.0,6,10,,,2.0
OFD1,NME7,Ciliated,0.96,1.0,8,10,,,2.0
OFD1,NUDC,Ciliated,1.0,1.0,453,631,,,2.0
OFD1,NUDCD3,Ciliated,1.0,1.0,22,43,,,2.0
OFD1,PCM1,Ciliated,1.0,1.0,149,274,,,2.0
OFD1,PDRG1,Ciliated,1.0,1.0,11,17,,,2.0
