ipSAE,iPTM,Interface_pLDDT,PAE_Contacts_<3A,Confidence
0.8283153,0.84,93.05176,274,High
0.8280138,0.84,93.13348,265,High
0.7713359,0.64,85.72908,61,High
0.7599822,0.62,89.56169,59,High
0.7587239,0.85,81.583885,61,High
0.7578511,0.85,81.35693,68,High
0.75296104,0.68,82.3793,51,High
0.74835306,0.68,83.1751,61,High
0.71904945,0.63,83.31986,49,High
0.71869755,0.81,88.907265,15,High
0.71672386,0.62,88.89924,57,High
0.7131941,0.62,87.724525,77,High
0.71297,0.88,90.74197,34,High
0.7092236,0.81,86.63245,33,High
0.70862484,0.63,83.37616,57,High
0.7043668,0.45,84.27415,60,High
0.7038984,0.72,88.50399,38,High
0.70357007,0.45,84.34615,51,High
0.7023716,0.72,88.21958,40,High
0.7009643,0.83,91.060234,37,High
0.698964,0.74,87.959915,43,Medium
0.6988243,0.27,89.921104,22,Medium
0.6967669,0.8,86.40847,45,Medium
0.6958741,0.65,81.8368,30,Medium
0.6912346,0.65,81.46595,31,Medium
0.6898698,0.57,84.38831,36,Medium
0.6876721,0.55,82.03609,47,Medium
0.68612725,0.81,87.492226,32,Medium
0.6836468,0.55,81.701744,30,Medium
0.6834417,0.57,84.15719,25,Medium
0.67843467,0.77,86.51112,153,Medium
0.67754316,0.77,85.948616,197,Medium
0.67742985,0.85,92.3004,50,Medium
0.67528325,0.79,83.28291,31,Medium
0.67365915,0.78,83.667885,15,Medium
0.6698515,0.78,87.0225,24,Medium
0.66718847,0.59,81.599724,33,Medium
0.66681945,0.82,92.17567,39,Medium
0.6664429,0.56,84.060196,45,Medium
0.6646243,0.59,82.302864,35,Medium
0.6641053,0.76,85.032166,182,Medium
0.66343486,0.76,85.59755,112,Medium
0.6625281,0.58,86.10948,27,Medium
0.66031516,0.87,87.21239,16,Medium
0.66007113,0.68,85.337395,58,Medium
0.6582769,0.71,79.167015,24,Medium
0.654327,0.84,92.66359,32,Medium
0.652987,0.79,87.93545,23,Medium
0.6523343,0.52,80.396286,63,Medium
0.64633,0.52,80.71927,57,Medium
0.6455526,0.71,78.99843,21,Medium
0.64029306,0.54,84.02227,23,Medium
0.6363958,0.66,89.73766,16,Medium
0.6362975,0.67,84.11792,2,Medium
0.63555217,0.63,81.5632,18,Medium
0.6290676,0.43,83.0421,160,Medium
0.62772363,0.83,85.82279,26,Medium
0.6214371,0.72,83.776245,39,Medium
0.6213019,0.52,88.44378,18,Medium
0.61810565,0.54,84.45237,68,Medium
0.6175081,0.55,84.1043,38,Medium
0.6170063,0.54,85.46902,68,Medium
0.6135375,0.77,85.60992,49,Medium
0.61226493,0.64,89.34024,23,Medium
0.60844237,0.77,84.75402,51,Medium
0.5973592,0.42,82.623825,69,Medium
0.59723043,0.82,89.40956,21,Medium
0.5954744,0.41,82.300354,79,Medium
0.59497327,0.6,82.786194,12,Medium
0.59391326,0.72,84.705925,33,Medium
0.5905581,0.72,83.576485,13,Medium
0.587469,0.83,88.99033,23,Medium
0.5870666,0.66,85.55445,50,Medium
0.58277494,0.77,81.306946,6,Medium
0.58199704,0.52,78.43392,1,Medium
0.57994014,0.76,82.82851,21,Medium
0.5798622,0.75,89.6955,,Medium
0.5792177,0.7,87.86147,15,Medium
0.5785494,0.78,91.09377,15,Medium
0.5784052,0.76,86.49863,3,Medium
0.5777957,0.71,81.21465,3,Medium
0.5735986,0.73,91.60932,14,Medium
0.57019615,0.68,87.44015,10,Medium
0.56956,0.79,83.67035,29,Medium
0.56758153,0.71,90.43759,2,Medium
0.5647609,0.58,85.88395,46,Medium
0.56247354,0.83,84.46996,13,Medium
0.55910605,0.53,80.71702,23,Medium
0.5571812,0.47,84.04444,2,Medium
0.55645055,0.46,82.966324,3,Medium
0.55625033,0.65,82.5118,23,Medium
0.55590785,0.63,81.85343,3,Medium
0.5539813,0.79,83.63948,9,Medium
0.5533598,0.69,87.40067,,Medium
0.5524447,0.63,84.22538,2,Medium
0.5519426,0.46,81.07367,4,Medium
0.5508466,0.79,87.10823,13,Medium
0.5499628,0.64,82.25934,20,Medium
0.5499107,0.69,87.19772,,Medium
0.54697245,0.41,85.68955,3,Medium
0.54332566,0.71,81.2629,10,Medium
0.542769,0.51,81.5844,8,Medium
0.5420294,0.68,92.19516,6,Medium
0.5403463,0.62,85.53236,15,Medium
0.5381653,0.44,79.38855,11,Medium
0.53662884,0.79,80.17663,9,Medium
0.5346844,0.67,82.268196,,Medium
0.53406805,0.81,88.15255,3,Medium
0.5330536,0.58,87.33457,22,Medium
0.5322961,0.66,82.92798,4,Medium
0.53002244,0.71,85.477234,10,Medium
0.5297755,0.53,87.35714,20,Medium
0.5293746,0.58,81.81356,32,Medium
0.52800703,0.67,86.63983,6,Medium
0.526945,0.66,82.18866,2,Medium
0.52688205,0.67,85.08313,2,Medium
0.52650636,0.75,84.71972,22,Medium
0.526164,0.61,89.69069,11,Medium
0.5261032,0.53,81.38133,38,Medium
0.52547,0.66,87.27041,1,Medium
0.52540433,0.44,79.32065,4,Medium
0.524695,0.52,81.31197,11,Medium
0.5245273,0.74,87.115746,30,Medium
0.524515,0.53,82.75254,10,Medium
0.52408963,0.69,79.49925,,Medium
0.523655,0.58,87.21074,11,Medium
0.5235034,0.84,83.48148,17,Medium
0.5231901,0.74,81.27895,21,Medium
0.5230795,0.53,81.11011,40,Medium
0.5228147,0.81,87.02968,14,Medium
0.5200317,0.49,87.733116,64,Medium
0.51861125,0.75,89.472786,9,Medium
0.51754177,0.55,82.84487,,Medium
0.51737833,0.69,81.68425,13,Medium
0.51721895,0.63,81.23445,1,Medium
0.51681393,0.71,82.10076,5,Medium
0.51652694,0.56,86.35059,4,Medium
0.5143757,0.68,85.058395,3,Medium
0.5134987,0.54,79.53128,43,Medium
0.5125944,0.57,91.25227,13,Medium
0.51255965,0.67,80.34117,7,Medium
0.5120091,0.54,83.09285,36,Medium
0.51141804,0.55,87.445,6,Medium
0.5112655,0.74,78.255264,1,Medium
0.5112505,0.75,94.802475,19,Medium
0.5104805,0.67,76.03876,,Medium
0.5104427,0.7,85.98089,1,Medium
0.5084198,0.62,83.1996,6,Medium
0.5067337,0.53,85.594925,2,Medium
0.50266707,0.65,86.329315,4,Medium
0.5024442,0.75,82.14698,7,Medium
0.50229347,0.59,84.33029,7,Medium
0.50197744,0.7,90.4282,,Medium
0.5008938,0.62,86.6747,,Medium
0.5003644,0.57,87.84767,14,Medium
0.4997138,0.57,75.701836,3,Low
0.49928838,0.6,83.908066,16,Low
0.4986905,0.72,86.77344,,Low
0.49837703,0.72,81.85907,1,Low
0.49660647,0.49,81.671875,26,Low
0.49647292,0.69,80.7076,,Low
0.4957416,0.7,83.33653,9,Low
0.49431428,0.76,88.31352,10,Low
0.49272174,0.66,76.657776,,Low
0.49263594,0.79,77.55716,,Low
0.49117956,0.89,79.61966,11,Low
0.49054864,0.68,83.36475,2,Low
0.48699653,0.76,85.10268,,Low
0.48555642,0.61,87.169876,,Low
0.48245022,0.72,85.45922,,Low
0.4819559,0.62,86.64851,,Low
0.48010027,0.69,77.94348,,Low
0.47907314,0.58,86.47977,15,Low
0.479029,0.84,86.47351,5,Low
0.47896805,0.63,84.192726,1,Low
0.47822043,0.35,75.03384,,Low
0.47673714,0.7,85.00449,2,Low
0.47657016,0.76,86.287445,2,Low
0.47577927,0.83,81.663826,3,Low
0.4752677,0.54,81.56201,,Low
0.47389454,0.7,85.34804,10,Low
0.4694991,0.56,77.72023,34,Low
0.46918675,0.6,81.401535,16,Low
0.46897858,0.69,85.20799,1,Low
0.46840107,0.35,75.006485,,Low
0.46731916,0.55,87.1968,2,Low
0.46542653,0.75,87.601685,,Low
0.46416005,0.75,85.70631,,Low
0.4639453,0.58,76.83893,,Low
0.4632768,0.55,86.2375,,Low
0.4627686,0.39,79.32779,5,Low
0.46250227,0.38,81.29627,3,Low
0.46173054,0.33,84.26379,134,Low
0.46102872,0.49,89.11713,,Low
0.46093374,0.57,79.98278,,Low
0.46092314,0.55,82.331764,5,Low
0.4600259,0.78,77.55849,1,Low
0.45908275,0.73,86.21952,,Low
0.4581572,0.57,85.32465,,Low
0.45781785,0.46,82.58982,,Low
0.45742375,0.67,78.836105,,Low
0.45670056,0.55,84.98352,,Low
0.45604345,0.74,77.296814,,Low
0.45597094,0.6,79.916794,27,Low
0.45554736,0.49,77.05024,3,Low
0.45503387,0.63,82.55327,2,Low
0.4539932,0.6,79.52367,,Low
0.45351166,0.33,84.89178,122,Low
0.45347422,0.73,90.380356,,Low
0.45264912,0.4,80.91618,4,Low
0.4524699,0.63,90.006004,102,Low
0.45172855,0.76,89.87535,1,Low
0.45141402,0.56,84.16759,3,Low
0.45104665,0.65,83.16839,7,Low
0.45032433,0.74,84.57181,6,Low
0.44999698,0.37,84.26941,6,Low
0.4488457,0.59,86.542885,,Low
0.44865564,0.63,79.16881,,Low
0.44820905,0.65,81.473335,6,Low
0.4474602,0.58,85.5476,2,Low
0.4473519,0.74,89.542336,,Low
0.44720742,0.63,85.00419,2,Low
0.44661376,0.51,82.12351,,Low
0.44604453,0.65,88.09287,2,Low
0.44604236,0.84,89.83172,,Low
0.44596335,0.52,83.816765,3,Low
0.44517395,0.54,82.509155,4,Low
0.44453582,0.62,90.35255,1,Low
0.4440409,0.79,88.60261,,Low
0.44381914,0.5,81.87247,1,Low
0.44263896,0.79,81.99321,,Low
0.4423532,0.67,84.426926,5,Low
0.4421313,0.58,83.15807,2,Low
0.4417846,0.6,81.26418,,Low
0.44172603,0.5,82.94177,8,Low
0.44102395,0.66,89.07,,Low
0.44016024,0.65,80.410995,15,Low
0.43954402,0.42,79.64436,,Low
0.4392566,0.67,86.60904,,Low
0.43688434,0.66,82.51611,5,Low
0.43605924,0.68,81.84723,,Low
0.43529466,0.5,87.06643,,Low
0.43480676,0.57,84.29827,2,Low
0.43348762,0.65,84.28056,,Low
0.43296635,0.51,85.83607,,Low
0.4329207,0.81,84.987144,,Low
0.43273684,0.46,81.601105,,Low
0.43265173,0.52,86.04908,,Low
0.43140483,0.51,87.17055,,Low
0.4311003,0.51,85.475784,,Low
0.4303149,0.48,81.62309,,Low
0.4302718,0.72,83.126114,,Low
0.43008703,0.57,83.08563,,Low
0.4296482,0.65,90.38,,Low
0.42946887,0.67,86.03844,,Low
0.4288785,0.55,76.31667,,Low
0.42865106,0.63,82.002914,,Low
0.42853156,0.41,83.75283,6,Low
0.42794436,0.53,81.48128,,Low
0.42624694,0.58,80.0878,,Low
0.4260911,0.69,87.64963,,Low
0.42600307,0.82,75.22258,,Low
0.4257262,0.72,87.535614,1,Low
0.42565584,0.51,76.01735,,Low
0.42534652,0.59,81.179955,,Low
0.4253413,0.51,86.35313,,Low
0.42510745,0.76,87.10188,,Low
0.42503467,0.36,87.71528,15,Low
0.42464048,0.66,89.14395,,Low
0.424556,0.53,78.733604,1,Low
0.42421007,0.6,78.62655,,Low
0.42354447,0.66,88.91676,,Low
0.422839,0.49,83.38121,,Low
0.42216143,0.61,90.78345,9,Low
0.42198226,0.62,83.97018,,Low
0.42191344,0.65,84.415695,,Low
0.42182377,0.58,81.74045,11,Low
0.42100388,0.59,81.29059,,Low
0.42098248,0.62,,,Low
0.41989693,0.42,85.3344,,Low
0.4194569,0.53,77.80911,8,Low
0.41902864,0.45,87.247475,4,Low
0.41889378,0.67,89.03865,,Low
0.4164617,0.53,83.707466,,Low
0.4164357,0.61,84.2634,5,Low
0.41458648,0.61,82.26418,,Low
0.41324043,0.48,80.86798,18,Low
0.41278097,0.73,83.16018,,Low
0.411476,0.68,82.01122,1,Low
0.41093746,0.71,86.61791,1,Low
0.41076463,0.63,82.903496,,Low
0.40989566,0.73,85.14839,16,Low
0.4096136,0.49,83.270294,,Low
0.40914613,0.58,80.31426,1,Low
0.40838784,0.37,83.055885,12,Low
0.40591097,0.5,81.74314,,Low
0.40581217,0.6,83.64888,,Low
0.40576124,0.45,79.25713,,Low
0.40562198,0.49,82.58753,2,Low
0.40551123,0.79,81.54986,,Low
0.40541458,0.53,79.40936,4,Low
0.40504247,0.8,75.682304,,Low
0.40363574,0.73,88.211,,Low
0.40286458,0.68,85.37091,9,Low
0.40257215,0.34,73.096405,,Low
0.40129772,0.43,81.69697,5,Low
0.39970323,0.35,86.943275,2,Low
0.39961943,0.58,82.02785,,Low
0.39888602,0.48,78.55126,9,Low
0.39807716,0.5,75.13509,,Low
0.39795324,0.61,76.884186,,Low
0.39782923,0.65,91.32252,1,Low
0.3960135,0.55,81.33323,,Low
0.39564496,0.59,88.44152,,Low
0.39513463,0.58,81.79935,,Low
0.39450788,0.59,88.78442,,Low
0.39438426,0.48,82.195015,,Low
0.39376527,0.56,84.59556,,Low
0.39365253,0.66,76.29303,,Low
0.39358568,0.58,85.021965,3,Low
0.39258134,0.61,80.462776,,Low
0.3924649,0.52,83.392845,,Low
0.39116016,0.58,81.37359,,Low
0.39083967,0.45,81.306305,,Low
0.3907918,0.74,79.79943,1,Low
0.39020503,0.51,81.93128,4,Low
0.3900076,0.49,87.695724,4,Low
0.3890867,0.61,83.35233,,Low
0.3890328,0.69,86.577896,1,Low
0.3887338,0.45,80.32876,,Low
0.38809472,0.57,81.06912,,Low
0.3875795,0.5,81.1513,,Low
0.38714585,0.69,84.80176,,Low
0.38673952,0.62,83.29019,,Low
0.38654882,0.53,82.643265,,Low
0.38619342,0.56,86.70652,1,Low
0.38522705,0.44,75.534874,,Low
0.38520175,0.61,88.61946,89,Low
0.38504258,0.55,81.55887,4,Low
0.3846583,0.66,85.42123,,Low
0.38406596,0.59,85.0125,,Low
0.38348436,0.59,78.80695,,Low
0.38329783,0.32,81.3546,168,Low
