source	target	interaction_category	ipsae	iptm	contacts_lt_3	contacts_lt_6	interface_plddt	confidence_level
IFT46	IFT56	Validation: Intra-complex	0.8283153	0.84	undefined	undefined	undefined	High
IFT56	IFT46	Validation: Intra-complex	0.8280138	0.84	undefined	undefined	undefined	High
BBS8	BBS18	Validation: Intra-complex	0.7713359	0.64	undefined	undefined	undefined	High
BBS18	BBS8	Validation: Intra-complex	0.7599822	0.62	undefined	undefined	undefined	High
BBS7	BBS2	Validation: Intra-complex	0.7587239	0.85	undefined	undefined	undefined	High
BBS2	BBS7	Validation: Intra-complex	0.7578511	0.85	undefined	undefined	undefined	High
BBS1	BBS4	Validation: Intra-complex	0.75296104	0.68	undefined	undefined	undefined	High
BBS4	BBS1	Validation: Intra-complex	0.74835306	0.68	undefined	undefined	undefined	High
IFT70B	IFT88	Other	0.71904945	0.63	undefined	undefined	undefined	High
TULP3	WDR5	Transcription/Chromatin	0.71869755	0.81	undefined	undefined	undefined	High
BBS18	BBS4	Validation: Intra-complex	0.71672386	0.62	undefined	undefined	undefined	High
BBS4	BBS18	Validation: Intra-complex	0.7131941	0.62	undefined	undefined	undefined	High
IFT25	ZC2HC1A	Other	0.71297	0.88	undefined	undefined	undefined	High
BBS1	ARL6	Validation: Intra-complex	0.7092236	0.81	undefined	undefined	undefined	High
IFT88	IFT70B	Ciliary structural	0.70862484	0.63	undefined	undefined	undefined	High
IFT172	IFT57	Other	0.7043668	0.45	undefined	undefined	undefined	High
IFT80	IFT38	Ciliary structural	0.7038984	0.72	undefined	undefined	undefined	High
IFT57	IFT172	Ciliary structural	0.70357007	0.45	undefined	undefined	undefined	High
IFT38	IFT80	Other	0.7023716	0.72	undefined	undefined	undefined	High
IFT25	BBS18	Mechanistic: IFT-BBSome coupling	0.7009643	0.83	undefined	undefined	undefined	High
IFT80	TP73	Ciliary structural	0.698964	0.74	undefined	undefined	undefined	Medium
IFT54	CYS1	Ciliary structural	0.6988243	0.27	undefined	undefined	undefined	Medium
IFT27	TUBE1	Cytoskeleton	0.6967669	0.8	undefined	undefined	undefined	Medium
BBS8	BBS9	Validation: Intra-complex	0.6958741	0.65	undefined	undefined	undefined	Medium
BBS9	BBS8	Validation: Intra-complex	0.6912346	0.65	undefined	undefined	undefined	Medium
TULP3	GNAS	Membrane trafficking	0.6898698	0.57	undefined	undefined	undefined	Medium
IFT122	IFT144	Validation: Intra-complex	0.6876721	0.55	undefined	undefined	undefined	Medium
ARL6	BBS1	Validation: Intra-complex	0.68612725	0.81	undefined	undefined	undefined	Medium
IFT144	IFT122	Validation: Intra-complex	0.6836468	0.55	undefined	undefined	undefined	Medium
TULP3	TIMM50	Signaling	0.6834417	0.57	undefined	undefined	undefined	Medium
IFT52	IFT70B	Ciliary structural	0.67843467	0.77	undefined	undefined	undefined	Medium
IFT70B	IFT52	Other	0.67754316	0.77	undefined	undefined	undefined	Medium
IFT25	IFT27	Validation: Intra-complex	0.67742985	0.85	undefined	undefined	undefined	Medium
BBS7	IFT144	Mechanistic: IFT-BBSome coupling	0.67528325	0.79	undefined	undefined	undefined	Medium
IFT144	BBS7	Mechanistic: IFT-BBSome coupling	0.67365915	0.78	undefined	undefined	undefined	Medium
IFT27	PPP6C	Signaling	0.6698515	0.78	undefined	undefined	undefined	Medium
IFT88	IFT70A	Ciliary structural	0.66718847	0.59	undefined	undefined	undefined	Medium
BBS18	IFT25	Mechanistic: IFT-BBSome coupling	0.66681945	0.82	undefined	undefined	undefined	Medium
TULP3	GLIS2	Ciliary structural	0.6664429	0.56	undefined	undefined	undefined	Medium
IFT70A	IFT88	Other	0.6646243	0.59	undefined	undefined	undefined	Medium
IFT70A	IFT52	Other	0.6641053	0.76	undefined	undefined	undefined	Medium
IFT52	IFT70A	Ciliary structural	0.66343486	0.76	undefined	undefined	undefined	Medium
TULP3	EIF5	RNA processing	0.6625281	0.58	undefined	undefined	undefined	Medium
IFT54	CLIC1	Signaling	0.66031516	0.87	undefined	undefined	undefined	Medium
