Interaction_ID,Bait_UniProt,Bait_Gene,Prey_UniProt,Prey_Gene,ipSAE,Confidence,iPTM,Interface_pLDDT,PAE_Contacts_<3A,PAE_Contacts_<6A,Analysis_Version,AlphaFold_Version,Has_Experimental_Validation,Validation_Details
217,Q9NQC8,IFT46,A0AVF1,IFT56,0.8283153,High,0.84,93.05176,274,299,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Y2H"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": """", ""pmid"": ""24413085"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Swiderski et al., 2014"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT56""}]}"
1,A0AVF1,IFT56,Q9NQC8,IFT46,0.8280138,High,0.84,93.13348,265,291,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Y2H"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": """", ""pmid"": ""24413085"", ""notes"": ""Y2H evidence of direct protein-protein interaction."", ""study"": ""Swiderski et al., 2014"", ""method"": ""Y2H"", ""confidence"": ""high"", ""bait_protein"": ""IFT56""}]}"
377,Q8TAM2,BBS8,A8MTZ0,BBIP1,0.7713359,High,0.64,85.72908,61,80,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""U-bolt clamping; BBS18 threads through BBS8 TPR; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
995,A8MTZ0,BBIP1,Q8TAM2,BBS8,0.7599822,High,0.62,89.56169,59,61,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 1, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""U-bolt clamping; BBS18 threads through BBS8 TPR; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
296,Q8IWZ6,BBS7,Q9BXC9,BBS2,0.7587239,High,0.85,81.583885,61,187,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 4, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""Coiled-coil heterodimer (BBS2 334-363 ↔ BBS7 340-363); 4.9 Å + XL-MS + Rosetta"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""BBS2 and BBS7 β-propellers form part of GPCR cargo binding cavity. Resolution ~3.5 Å. PDB: 6VOA, 6VNW"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""BBS2""}, {""pmid"": ""31939736"", ""notes"": ""3.1 Å inactive + 3.5 Å active states; Head heterodimer formed by asymmetric coiled-coil interaction (PDB: 6VBU, 6VBV)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
401,Q9BXC9,BBS2,Q8IWZ6,BBS7,0.7578511,High,0.85,81.35693,68,195,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""Cryo-EM"", ""validation_count"": 4, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""pmid"": ""31303482"", ""notes"": ""Coiled-coil heterodimer (BBS2 334-363 ↔ BBS7 340-363); 4.9 Å + XL-MS + Rosetta"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""BBS2 and BBS7 β-propellers form part of GPCR cargo binding cavity. Resolution ~3.5 Å. PDB: 6VOA, 6VNW"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""BBS2""}, {""pmid"": ""31939736"", ""notes"": ""3.1 Å inactive + 3.5 Å active states; Head heterodimer formed by asymmetric coiled-coil interaction (PDB: 6VBU, 6VBV)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
362,Q8NFJ9,BBS1,Q96RK4,BBS4,0.75296104,High,0.68,82.3793,51,102,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 5, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""BBS4""}, {""pmid"": ""31951201"", ""notes"": ""Human BBSome core; part of core assembly; ~3.8 Å"", ""study"": ""Klink et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31939736"", ""notes"": ""3.1 Å; N-terminal β-propeller of BBS1 binds N-terminal end of BBS4 TPR superhelix; BBS1 wraps around BBS4 (PDB: 6VBU)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31303482"", ""notes"": ""β-propeller to N-terminal TPR; patient mutations at interface; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""BBS1 β-propeller sits in cradle between BBS4 and BBS7. Upon ARL6 binding, BBS1 rotates ~25° and moves 13 Å. Resolution ~3.5 Å. PDB: 6VOA, 6VNW"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
387,Q96RK4,BBS4,Q8NFJ9,BBS1,0.74835306,High,0.68,83.1751,61,118,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 5, ""consensus_confidence"": ""high""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""BBS4""}, {""pmid"": ""31951201"", ""notes"": ""Human BBSome core; part of core assembly; ~3.8 Å"", ""study"": ""Klink et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31939736"", ""notes"": ""3.1 Å; N-terminal β-propeller of BBS1 binds N-terminal end of BBS4 TPR superhelix; BBS1 wraps around BBS4 (PDB: 6VBU)"", ""study"": ""Singh et al., eLife 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""31303482"", ""notes"": ""β-propeller to N-terminal TPR; patient mutations at interface; 4.9 Å + XL-MS"", ""study"": ""Chou et al., 2019"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}, {""pmid"": ""32510327"", ""notes"": ""BBS1 β-propeller sits in cradle between BBS4 and BBS7. Upon ARL6 binding, BBS1 rotates ~25° and moves 13 Å. Resolution ~3.5 Å. PDB: 6VOA, 6VNW"", ""study"": ""Yang et al., 2020"", ""method"": ""Cryo-EM"", ""confidence"": ""high""}]}"
77,Q8N4P2,IFT70B,Q13099,IFT88,0.71904945,High,0.63,83.31986,49,75,v4,AF3,Yes,"{""validation_summary"": {""is_validated"": true, ""strongest_method"": ""SF-TAP-MS"", ""validation_count"": 1, ""consensus_confidence"": ""medium""}, ""experimental_methods"": [{""doi"": ""10.1038/ncomms11491"", ""pmid"": ""27173156"", ""notes"": """", ""study"": ""Boldt et al., 2016"", ""method"": ""SF-TAP-MS"", ""confidence"": ""high"", ""bait_protein"": ""IFT88""}]}"
879,O75386,TULP3,P61964,WDR5,0.71869755,High,0.81,88.907265,15,35,v4,AF3,No,
