query_uniprot,query_gene,query_complex,bait_uniprot,bait_gene,prey_uniprot,prey_gene,confidence,ipsae,ipsae_confidence,iptm,interface_plddt,contacts_pae_lt_3,contacts_pae_lt_6,analysis_version,alphafold_version,validated,experimental_validation,bait_complex,bait_organism,extraction_timestamp,id,ipsae_pae_cutoff,prey_organism,source_path
Q8NEZ3,IFT144,IFT-A,Q96RY7,IFT140,Q8NEZ3,WDR19,High,0.6170063272194763,Medium,0.54,85.46901856763925,68,69,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634345,10612,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q96RY7_IFT140/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q96RY7,IFT140,High,0.6181056338616743,Medium,0.54,84.45236641221373,68,69,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634366,10413,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q9HBG6,IFT122,Q8NEZ3,WDR19,High,0.687672089146728,Medium,0.55,82.03608579088471,47,57,v4,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:05.634373,10695,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9HBG6_IFT122/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8IWZ6,BBS7,Q8NEZ3,WDR19,High,0.6752832531405051,Medium,0.79,83.28291536050156,31,92,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634379,10287,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8IWZ6_BBS7/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q9HBG6,IFT122,High,0.6836467739275692,Medium,0.55,81.70174479166666,30,56,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634384,10411,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q8IWZ6,BBS7,High,0.673659124256007,Medium,0.78,83.66788368336026,15,89,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634389,10412,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q9H069,DRC3,Low,0.36027863751218886,Low,0.55,86.15023076923079,0,14,v4,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634393,10414,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3/AF3_PD_analysis_v4.json
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q99835,SMO,Low,,,0.5,71.4,0,5,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634401,12,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q9P2L0,WDR35,Q8NEZ3,WDR19,Low,,,0.47,74.5,0,5,v3,AF3,True,"{""date"": ""2025-10-30"", ""notes"": ""IFT-A complex validation - skeletal ciliopathy project"", ""method"": ""PD_MS"", ""source"": ""Tina/Carsten"", ""validated"": true, ""source_file"": ""/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/MS_PD_data_Tina_Carsten_IFT43_121_122.xlsx""}",IFT-A,Homo sapiens,2025-10-31T13:15:05.634406,335,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q9P2L0_IFT121/AF3
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q9P2L0,WDR35,Low,,,0.47,74.1,0,17,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634411,11,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
Q8NEZ3,IFT144,IFT-A,Q8NEZ3,WDR19,Q6ZR08,DNAH12,Low,,,0.45,79.9,0,4,v3,AF3,False,,IFT-A,Homo sapiens,2025-10-31T13:15:05.634416,6,10,Homo sapiens,/emcc/au14762/elo_lab/AlphaPulldown/AF3_APD/Q8NEZ3_IFT144/AF3
